"","OBJECTID","TAG","LU_NSWCode","LU_NSWMajo","LU_NSWDeta","LU_SCALDCo","LU_ALUM4Co","LU_ALUM5Co","LU_ALUM6Co","LU_ALUMMaj","LU_ALUMDet","Source","SourceScal","SourceDate","Reliabilit","LU_Mapping","Shape_Leng","Shape_Area","LU_ALUM7Co","LandUse"
"1",55433,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0065066922,2.09671e-06,"5.4.5",15
"2",45174,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.08416231923,0.00027388677,"4.3.6",5
"3",55440,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01068357452,5.06276e-06,"5.4.5",15
"4",205309,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00349800429,9.0436e-07,"6.2.0",14
"5",55441,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01751242642,1.420374e-05,"5.4.5",15
"6",45176,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.22342393938,0.00087386246,"4.3.6",5
"7",205310,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00347476615,8.7543e-07,"6.2.0",14
"8",84184,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.09710096001,4.092995e-05,"2.1.0",21
"9",45177,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.83252071945,0.00399087231,"4.3.6",5
"10",59550,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.03674402679,2.322375e-05,"2.1.0",22
"11",205313,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00273958933,5.2822e-07,"6.2.0",14
"12",84187,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00938819948,2.72655e-06,"2.1.0",21
"13",45180,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.03007410217,5.504182e-05,"4.3.6",5
"14",84191,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01191444408,4.83475e-06,"2.1.0",21
"15",205318,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00333410718,7.8372e-07,"6.2.0",14
"16",55450,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00896208731,3.73456e-06,"5.4.5",15
"17",55451,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-05-11,3,NA,0.00304785179,5.4666e-07,"5.4.5",15
"18",367518,"19","19","Transport & Other Corridors","Road or road reserve","j9c","5.7.2","5.7.2","5.7.2","Transport and communication","Roads","air photo","1:25,000",2001-11-01,3,NA,0.03315584823,3.09438e-06,"5.7.2",44
"19",45187,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.10094741412,0.00038022531,"4.3.6",5
"20",205325,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00341915672,8.3469e-07,"6.2.0",14
"21",55457,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00412034616,9.8798e-07,"5.4.5",15
"22",45192,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.04696054057,0.00013641713,"4.3.6",5
"23",205326,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00256616745,4.9696e-07,"6.2.0",14
"24",55460,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01569962992,6.23664e-06,"5.4.5",15
"25",55461,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00653911925,2.43248e-06,"5.4.5",15
"26",205332,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00978927745,5.21287e-06,"6.2.0",14
"27",55464,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01805380744,1.510786e-05,"5.4.5",15
"28",55465,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00499266633,1.54919e-06,"5.4.5",15
"29",55466,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01285467053,7.8222e-06,"5.4.5",15
"30",55467,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01279671484,1.008933e-05,"5.4.5",15
"31",84210,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01521549676,1.437216e-05,"2.1.0",21
"32",55473,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01213393304,7.4512e-06,"5.4.5",15
"33",59580,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.03135325194,3.224497e-05,"2.1.0",22
"34",55474,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01185601285,5.99488e-06,"5.4.5",15
"35",32891,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02608869849,3.357497e-05,"3.3.0",6
"36",59581,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-05-11,3,NA,0.00254226448,4.5647e-07,"2.1.0",22
"37",205344,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00275142412,4.9383e-07,"6.2.0",14
"38",55476,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01050905528,4.8584e-06,"5.4.5",15
"39",32893,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.05064711201,9.31711e-05,"3.3.0",6
"40",59584,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-05-11,3,NA,0.3187699629,0.00190424723,"2.1.0",22
"41",55478,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00678461083,2.74051e-06,"5.4.5",15
"42",32895,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.20421832478,0.00059285907,"3.3.0",6
"43",55480,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0132735847,8.76396e-06,"5.4.5",15
"44",39056,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.04293804147,8.623668e-05,"3.6.3",36
"45",32897,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.03554790731,7.543504e-05,"3.3.0",6
"46",205349,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00413301435,1.04472e-06,"6.2.0",14
"47",32898,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.00895890818,4.74607e-06,"3.3.0",6
"48",55482,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00391575154,9.6369e-07,"5.4.5",15
"49",45218,"129I","129I","Cropping","Cotton - irrigated","a0c","4.4.6","4.3.6","4.3.6","Irrigated cropping","Irrigated cotton","air photo","1:50,000",2003-05-11,3,NA,0.05830038049,0.0001467747,"4.3.6",5
"50",39059,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:50,000",2003-05-11,3,NA,0.01661957614,1.081253e-05,"3.6.3",36
"51",32900,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01855859647,1.840291e-05,"3.3.0",6
"52",84226,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00396016113,9.4774e-07,"2.1.0",21
"53",55485,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01655143959,1.490666e-05,"5.4.5",15
"54",205357,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-05-11,3,NA,0.00138132344,1.4558e-07,"6.2.0",14
"55",55489,"139","139","Special Category","Farm Infrastructure - house, machinery & storage sheds and garden areas","h7.","5.0.0","5.0.0","5.0.0","Residential and farm infrastructure","Farm buildings/infrastructure","air photo","1:50,000",2003-05-11,3,NA,0.0065735473,2.75693e-06,"5.4.5",15
"56",32906,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.04906390718,8.518359e-05,"3.3.0",6
"57",32907,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.03132634519,5.092156e-05,"3.3.0",6
"58",84233,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0094058078,4.55903e-06,"2.1.0",21
"59",39067,"11","11","Tree & Shrub Cover","Native forest - regeneration","g6j","1.3.4","1.3.4","3.6.3","Land in transition","Land under rehabilitation","air photo","1:50,000",2003-05-11,3,NA,0.01914834727,9.30992e-06,"3.6.3",36
"60",205360,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00346815002,8.2342e-07,"6.2.0",14
