shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
1,43,FALSE,1,26,246,7445,75,45,0,604.6511627906976,7549,76,49,253,7450,75,50,253,36,253,FALSE,237,7255,239
2,16,FALSE,1,1,335,6709,68,9,0,62.5,6709,68,9,335,6609,67,9,336,21,336,TRUE,292,6101,310
3,77,TRUE,1,8593,220,9915,100,15,0,111597.40259740259,8232,83,32,288,8133,82,33,288,1,288,FALSE,246,7445,253
4,176,TRUE,1,117,290,5501,56,1,0,664.7727272727273,5801,59,1,310,5901,60,1,309,21,310,TRUE,292,6101,310
5,83,FALSE,1,1,263,7041,71,41,0,12.048192771084338,7041,71,41,263,7042,71,42,264,39,264,FALSE,187,6269,188
6,14,TRUE,1,7,264,35,1,35,0,500,38,1,38,265,39,1,39,266,29,266,TRUE,261,41,264
7,30,FALSE,1,5,281,6037,61,37,0,166.66666666666666,6037,61,37,281,5938,60,38,283,49,283,FALSE,275,5639,276
8,57,FALSE,1,20,274,2035,21,35,0,350.8771929824561,2038,21,38,278,2139,22,39,279,38,279,FALSE,266,2243,269
9,175,TRUE,1,2282,291,2401,25,1,0,13040,3516,36,16,334,3517,36,17,334,19,334,FALSE,261,4028,262
10,10,FALSE,1,5,273,5435,55,35,0,500,5437,55,37,275,5338,54,38,274,39,275,FALSE,187,6269,188
11,45,FALSE,1,1,247,3935,40,35,0,22.22222222222222,3935,40,35,247,3836,39,36,248,24,248,FALSE,247,3837,248
12,1,TRUE,1,5425,247,12,1,12,0,5425e3,320,4,20,334,221,3,21,336,6,336,TRUE,264,35,266
13,13,FALSE,1,1,405,8214,83,14,0,76.92307692307693,8214,83,14,405,8314,84,14,406,3,406,TRUE,220,9915,288
14,4,TRUE,1,22,343,8501,86,1,0,5500,8401,85,1,351,8301,84,1,354,15,354,TRUE,350,8201,354
15,26,TRUE,1,7,350,8201,83,1,0,269.2307692307692,8301,84,1,354,8401,85,1,351,14,354,TRUE,343,8501,354
16,3,FALSE,1,2,286,1237,13,37,0,666.6666666666666,1037,11,37,287,937,10,37,287,6,287,TRUE,264,35,266
17,8,FALSE,1,38,355,7305,74,5,0,4750,7107,72,7,361,7108,72,8,359,2,361,FALSE,335,6709,336
18,1,TRUE,1,10,394,701,8,1,0,1e4,602,7,2,398,503,6,3,398,12,398,TRUE,247,12,336
19,117,FALSE,1,2,261,4028,41,28,0,17.094017094017097,3928,40,28,261,3929,40,29,262,11,262,FALSE,247,3935,248
20,10,TRUE,1,91,345,9301,94,1,0,9100,9501,96,1,371,9602,97,2,372,3,372,TRUE,220,9915,288
21,2,TRUE,1,97,292,6101,62,1,0,48500,5901,60,1,309,5801,59,1,310,4,310,TRUE,290,5501,310
22,86,TRUE,1,19,261,9950,100,50,0,220.93023255813955,9951,100,51,269,9952,100,52,269,26,269,FALSE,211,8369,215
23,2,FALSE,1,20,243,7654,77,54,0,1e4,7554,76,54,246,7454,75,54,249,36,249,FALSE,237,7255,239
24,133,FALSE,1,2,247,3837,39,37,0,15.037593984962406,3836,39,36,248,3935,40,35,247,11,248,FALSE,247,3935,248
25,11,TRUE,1,1,302,9943,100,43,0,90.9090909090909,9943,100,43,302,9944,100,44,303,22,303,TRUE,261,9950,269
26,5,FALSE,1,24,211,8369,84,69,0,4800,7970,80,70,215,7871,79,71,213,57,215,FALSE,212,7771,215
27,7,FALSE,1,46,220,7565,76,65,0,6571.428571428572,7265,73,65,227,7165,72,65,227,61,227,FALSE,213,6966,215
28,12,FALSE,1,9,272,2540,26,40,0,750,2441,25,41,273,2342,24,42,275,38,275,FALSE,266,2243,269
29,2,TRUE,1,6,261,41,1,41,0,3e3,44,1,44,264,45,1,45,264,40,264,TRUE,258,49,260
30,352,FALSE,1,55,158,2290,23,90,0,156.25,2789,28,89,160,2890,29,90,160,67,160,FALSE,159,3090,160
31,7,FALSE,1,1,278,1344,14,44,0,142.85714285714286,1344,14,44,278,1345,14,45,279,30,279,FALSE,158,2290,160
32,16,FALSE,1,1,279,1342,14,42,0,62.5,1342,14,42,279,1343,14,43,280,31,280,FALSE,278,1344,279
33,66,FALSE,1,25,224,1163,12,63,0,378.7878787878788,1065,11,65,229,1166,12,66,229,60,229,FALSE,206,1169,207
34,13,FALSE,1,7,202,3458,35,58,0,538.4615384615385,3358,34,58,203,3258,33,58,205,35,205,FALSE,199,3060,200
35,35,FALSE,1,1,199,3060,31,60,0,28.57142857142857,2960,30,60,200,2961,30,61,200,30,200,FALSE,158,2290,160
36,16,FALSE,1,2,237,7255,73,55,0,125,7255,73,55,237,7156,72,56,239,39,239,FALSE,187,6269,188
37,1,TRUE,1,27,251,52,1,52,0,27e3,51,1,51,259,50,1,50,260,40,260,TRUE,258,49,260
38,27,FALSE,1,3,266,2243,23,43,0,111.1111111111111,2243,23,43,266,2344,24,44,269,43,269,FALSE,257,2346,259
39,469,FALSE,1,1,187,6269,63,69,0,2.1321961620469083,6269,63,69,187,6370,64,70,188,47,188,FALSE,178,6580,179
40,4,TRUE,1,3,258,49,1,49,0,750,50,1,50,260,151,2,51,259,37,260,TRUE,251,52,260
41,9,FALSE,1,3,243,3547,36,47,0,333.3333333333333,3547,36,47,243,3648,37,48,246,34,246,FALSE,202,3458,205
42,28,FALSE,1,4,245,3544,36,44,0,142.85714285714286,3545,36,45,247,3546,36,46,246,41,247,FALSE,243,3547,246
43,10,FALSE,1,2,257,2346,24,46,0,200,2346,24,46,257,2247,23,47,259,30,259,FALSE,158,2290,160
44,4,FALSE,1,3,290,4146,42,46,0,750,4146,42,46,290,4046,41,46,292,42,292,FALSE,245,3544,247
45,61,TRUE,1,282,169,6100,61,100,0,4622.950819672132,6491,65,91,182,6590,66,90,180,51,182,FALSE,178,6588,179
46,57,TRUE,1,2,208,8000,80,100,0,35.08771929824561,8100,81,100,210,8199,82,99,208,48,210,FALSE,200,8498,210
47,97,FALSE,1,1,178,6580,66,80,0,10.309278350515465,6581,66,81,179,6582,66,82,179,50,179,FALSE,178,6583,179
48,60,FALSE,1,90,200,8498,85,98,0,1500,8199,82,99,208,8100,81,100,210,46,210,TRUE,208,8000,210
49,4,FALSE,1,1,275,5639,57,39,0,250,5639,57,39,275,5640,57,40,276,39,276,FALSE,187,6269,188
50,24,FALSE,1,1,178,6583,66,83,0,41.666666666666664,6582,66,82,179,6581,66,81,179,47,179,FALSE,178,6580,179
51,28,FALSE,1,1,178,6588,66,88,0,35.714285714285715,6586,66,86,179,6585,66,85,179,50,179,FALSE,178,6583,179
52,40,FALSE,1,1,217,9592,96,92,0,25,9493,95,93,218,9393,94,93,218,48,218,FALSE,200,8498,210
53,3,TRUE,1,6,260,59,1,59,0,2e3,59,1,59,260,60,1,60,263,55,263,TRUE,207,65,222
54,2,TRUE,1,4,270,9900,99,100,0,2e3,9800,98,100,272,9700,97,100,272,48,272,FALSE,200,8498,210
55,5,TRUE,1,51,207,65,1,65,0,10200,68,1,68,222,69,1,69,221,59,222,TRUE,164,1000,168
56,30,FALSE,1,1,183,3885,39,85,0,33.333333333333336,3885,39,85,183,3785,38,85,184,67,184,FALSE,159,3090,160
57,16,FALSE,1,5,212,7771,78,71,0,312.5,7871,79,71,213,7970,80,70,215,26,215,FALSE,211,8369,215
58,201,FALSE,1,3,198,5061,51,61,0,14.925373134328359,5060,51,60,198,5159,52,59,199,39,199,FALSE,187,6269,188
59,227,TRUE,1,21,164,1000,10,100,0,92.51101321585902,1198,12,98,168,1297,13,97,167,70,168,FALSE,163,1496,164
60,12,FALSE,1,1,206,1169,12,69,0,83.33333333333333,1169,12,69,206,1070,11,70,207,59,207,TRUE,164,1000,168
61,7,FALSE,1,3,213,6966,70,66,0,428.57142857142856,6967,70,67,214,6968,70,68,215,47,215,FALSE,178,6580,179
62,5,TRUE,1,1,244,9981,100,81,0,200,9980,100,80,245,9979,100,79,245,26,245,FALSE,211,8369,215
63,4,FALSE,1,4,209,3462,35,62,0,1e3,3362,34,62,212,3261,33,61,211,35,212,FALSE,199,3060,200
64,15,FALSE,1,1,198,3078,31,78,0,66.66666666666667,3078,31,78,198,2979,30,79,199,30,199,FALSE,158,2290,160
65,20,TRUE,1,14,158,3400,34,100,0,700,3398,34,98,161,3397,34,97,161,68,161,FALSE,159,3295,160
66,12,TRUE,1,31,188,4700,47,100,0,2583.3333333333335,4900,49,100,194,5000,50,100,196,45,196,TRUE,169,6100,182
67,3,FALSE,1,2,159,3090,31,90,0,666.6666666666666,2890,29,90,160,2789,28,89,160,30,160,FALSE,158,2290,160
68,19,FALSE,1,3,159,3295,33,95,0,157.89473684210526,3192,32,92,160,3191,32,91,160,67,160,FALSE,159,3090,160
69,2,TRUE,1,4,166,2500,25,100,0,2e3,2300,23,100,168,2199,22,99,168,30,168,FALSE,158,2290,160
70,14,FALSE,1,1,163,1496,15,96,0,71.42857142857143,1395,14,95,164,1494,15,94,164,30,164,FALSE,158,2290,160
