Variable name,Units,Reference
Total profile depth (depth to bedrock) , cm ," (SSDS, [-@SSDS1993], p.5)"
Plant exploitable (effective depth) , cm ," (SSDS, [-@SSDS1993], p.60)"
Soil organic carbon (dry combustion) , permille , ISO 10694
pH index (the 1:5 H$_2$O solution) , – , ISO 10390
Sand content (gravimetric) , % ," (NRCS, [-@Burt2004SSIR], p.347)"
Silt content (gravimetric) , % ," (NRCS, [-@Burt2004SSIR], p.347)"
Clay content (gravimetric) , % ," (NRCS, [-@Burt2004SSIR], p.347)"
Coarse fragments (volumetric) , % ," (NRCS, [-@Burt2004SSIR], p.36)"
Effective Cation Exchange Capacity , cmol , ISO 11260
Bulk density of the whole soil , kg/m$^3$ , ISO 11272
Bulk density of the fine earth fraction , kg/m$^3$ , ISO 11272
Available water capacity , mm ," (NRCS, [-@Burt2004SSIR], p.137)"
